Headline
"Spanish PM warns of 'complex hours' ahead as wildfires displace 270,000 in Spain and France"
India's 'cockroach' protesters call off strike as education minister resigns
Four Palestinians and two Israelis killed in West Bank shooting
Warning shot or publicity stunt - how worried should we be about the OpenAI hack?
Tourists tell BBC how their holiday turned into race to escape fires
Trump takes swipes at press during White House Correspondents' Dinner
'Security was tighter this time': Inside the room at Trump press dinner
Iran-backed Houthis claim missile attack on Saudi Arabia
'It eats away at my body': The human cost of S Korea's ultra-convenient overnight deliveries
Ten killed in Russian attack on drone exhibition near Kyiv
Texts reveal 14-year-old allegedly murdered by singer D4vd had pregnancy and abortion
Zelensky tries to fix crisis over removal of defence minister and counts the cost
Watch: SpaceX's successful test flight and splashdown for Starship
MORE TO EXPLORE
CJP protest: The youth movement India's Modi didn't see coming
ADHD has rewired the workplace. This is what it means for bosses and workers
"Gangs, violence and dumped dead animals: The hidden world of illegal hare hunts"
Eastern Rosellas! - Meet the seven-year-old behind viral song
The pop band who went from playing for rescue dogs to selling out arenas
'Upheaval' - French wildfire evacuations in the middle of the night
MOST WATCHED
Struggle to even get inside: BBC reports from celebration at 'cockroach' protest site in India
Watch: Protesters celebrate resignation of India's education minister
Laura Kuenssberg goes behind the scenes with Andy Burnham in his first week as PM
India cockroach protests: Videos show officers firing 'pellet guns'
ALSO IN NEWS
Why have so many people died in the run-up to an election in Pakistan-administered Kashmir?
Trump orders Smithsonian to post warnings about 'inaccurate' US history
World chess chief faces endgame after EU announces Russia war sanctions
'Maybe he's a racist' - Trump critical of James
First person gets new experimental vaccine for Ebola
Nigeria's president approves largest military expansion in recent times
MOST READ
"Dancing with Shakira at World Cup was 'very, very, very, very, very good' - Ghetto Kids"
"2,000 pigeons shot with rifles at railway stations"
"Texas dairy farm explosion kills 18,000 cows"
Claudia Winkleman's chat show ended after one series - can anyone replace Graham Norton?
SPORT
Norris beats Hamilton to Hungary pole
Commonwealth Games day two: Women's team gymnastics after England win netball opener
'He'll go right through this guy' - Joshua v Prenga predictions
Unhappy Tottenham players should leave - De Zerbi
Could Mount be final piece in Man Utd midfield jigsaw?
Howe unsure over Guimaraes amid Arsenal interest
