quote,author,likes,tags,image
“A room without books is like a body without a soul.”―Marcus Tullius Cicero,Marcus Tullius Cicero,136017 likes,"tags:attributed-no-source,books,simile,soul","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1197881416i/13755._UX200_CR0,47,200,200_.jpg"
"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”―Bernard M. Baruch",Bernard M. Baruch,130581 likes,"tags:ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1331977133i/5768330._UX200_CR0,30,200,200_.jpg"
"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”―William W. Purkey",William W. Purkey,129327 likes,"tags:dance,heaven,hurt,inspirational,life,love,sing","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1282396130i/1744830._UX200_CR0,47,200,200_.jpg"
“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”―Dr. Seuss,Dr. Seuss,127666 likes,"tags:attributed-no-source,dreams,love,reality,sleep","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1193930952i/61105._UX200_CR0,30,200,200_.jpg"
"“You only live once, but if you do it right, once is enough.”―Mae West",Mae West,119556 likes,"tags:humor,life","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1738043431i/259666._UX200_CR0,23,200,200_.jpg"
“Be the change that you wish to see in the world.”―Mahatma Gandhi,Mahatma Gandhi,114694 likes,"tags:action,change,inspirational,misattributed-to-gandhi,philosophy,wish","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1356810912i/5810891._UX200_CR0,21,200,200_.jpg"
“In three words I can sum up everything I've learned about life: it goes on.”―Robert Frost,Robert Frost,109624 likes,tags:life,"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1605640483i/7715._UX200_CR0,33,200,200_.jpg"
"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”―J.K. Rowling,Harry Potter and the Goblet of Fire","J.K. Rowling,",101780 likes,,"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1596216614i/1077326._UX200_CR0,15,200,200_.jpg"
“Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend”―Albert Camus,Albert Camus,93877 likes,"tags:attributed-no-source,friends,friendship,misattributed-albert-camus","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1686463588i/957894._UY200_CR46,0,200,200_.jpg"
"“If you tell the truth, you don't have to remember anything.”―Mark Twain",Mark Twain,92567 likes,"tags:lies,lying,memory,truth","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1322103868i/1244._UX200_CR0,40,200,200_.jpg"
"“I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”―Maya Angelou",Maya Angelou,89650 likes,,"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1379017377i/3503._UX200_CR0,6,200,200_.jpg"
"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”―C.S. Lewis,The Four Loves","C.S. Lewis,",88243 likes,tags:friendship,https://images.gr-assets.com/quotes/1387503187p2/10554.jpg
"“To live is the rarest thing in the world. Most people exist, that is all.”―Oscar Wilde",Oscar Wilde,85286 likes,,"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1673611182i/3565._UX200_CR0,15,200,200_.jpg"
“A friend is someone who knows all about you and still loves you.”―Elbert Hubbard,Elbert Hubbard,84452 likes,,"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1216826209i/114059._CR0,24,200,200_.jpg"
“Always forgive your enemies; nothing annoys them so much.”―Oscar Wilde,Oscar Wilde,82078 likes,"tags:attributed-no-source,enemies,forgiveness,strategy","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1673611182i/3565._UX200_CR0,15,200,200_.jpg"
"“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”―Martin Luther King Jr.,A Testament of Hope: The Essential Writings and Speeches","Martin Luther King Jr.,",78616 likes,"tags:darkness,drive-out,hate,inspirational,light,love,peace","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1198518558i/23924._UX200_CR0,21,200,200_.jpg"
“Live as if you were to die tomorrow. Learn as if you were to live forever.”―Mahatma Gandhi,Mahatma Gandhi,77934 likes,"tags:carpe-diem,education,inspirational,learning","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1356810912i/5810891._UX200_CR0,21,200,200_.jpg"
"“We accept the love we think we deserve.”―Stephen Chbosky,The Perks of Being a Wallflower","Stephen Chbosky,",76946 likes,"tags:inspirational,love",https://images.gr-assets.com/quotes/1387506524p2/2534.jpg
"“Without music, life would be a mistake.”―Friedrich Nietzsche,Twilight of the Idols","Friedrich Nietzsche,",74641 likes,"tags:inspirational,music,philosophy","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1651474065i/1938._UX200_CR0,35,200,200_.jpg"
"“I am so clever that sometimes I don't understand a single word of what I am saying.”―Oscar Wilde,The Happy Prince and Other Stories","Oscar Wilde,",71838 likes,"tags:intelligence,self-deprecation","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1673611182i/3565._UX200_CR0,15,200,200_.jpg"
“To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”―Ralph Waldo Emerson,Ralph Waldo Emerson,69912 likes,"tags:accomplishment,attributed-no-source,be-yourself,conformity,individuality","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1393555704i/12080._UX200_CR0,34,200,200_.jpg"
"“Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”―Steve Jobs",Steve Jobs,68334 likes,,"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1322675535i/5255891._UX200_CR0,25,200,200_.jpg"
"“Insanity is doing the same thing, over and over again, but expecting different results.”―Narcotics Anonymous",Narcotics Anonymous,64777 likes,"tags:humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein",
"“It is better to be hated for what you are than to be loved for what you are not.”―Andre Gide,Autumn Leaves","Andre Gide,",62519 likes,"tags:life,love","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1424119198i/7617._UX200_CR0,29,200,200_.jpg"
"“I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”―Marilyn Monroe",Marilyn Monroe,62245 likes,"tags:attributed-no-source,misattributed-marilyn-monroe",https://images.gr-assets.com/quotes/1512016299p2/12379.jpg
"“Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”―H. Jackson Brown Jr.,P.S. I Love You","H. Jackson Brown Jr.,",60434 likes,"tags:actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1288560924i/33394.jpg
