title,price,mrp,discount,rating,reviews
"<h2 aria-label=""Sponsored Ad - Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Silver"" class=""a-size-medium a-spacing-none a-color-base a-text-normal""><span>Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Silver</span></h2>","69,900",,,4.8 out of 5 stars,1K+ bought in past month
"<h2 aria-label=""Sponsored Ad - HP OmniBook 3 OLED ● Intel Core Ultra 5 322● 46 Tops● 16GB DDR5 (Upgradeable)● 512GB SSD● 2K●14''/35.6cm● 300nits● Win11● Office24● Silver● 1.4kg● hs0052TU● Lighter mini GaN Charger● AI Laptop"" class=""a-size-medium a-spacing-none a-color-base a-text-normal""><span>HP OmniBook 3 OLED ● Intel Core Ultra 5 322● 46 Tops● 16GB DDR5 (Upgradeable)● 512GB SSD● 2K●14''/35.6cm● 300nits● Win11● Office24● Silver● 1.4kg● hs0052TU● Lighter mini GaN Charger● AI Laptop</span></h2>","1,09,990","₹1,76,019₹1,76,019",,,M.R.P.: 
"<h2 aria-label='HP 15 (2026), AMD Athlon Dual Core 7120U - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/Copilot Key/1.5kg/MS Office' class=""a-size-medium a-spacing-none a-color-base a-text-normal""><span>HP 15 (2026), AMD Athlon Dual Core 7120U - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/Copilot Key/1.5kg/MS Office</span></h2>","40,750","₹56,990₹56,990",,2.8 out of 5 stars,100+ bought in past month
"<h2 aria-label='Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, Office 2024 + M365 Basic, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop' class=""a-size-medium a-spacing-none a-color-base a-text-normal""><span>Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, Office 2024 + M365 Basic, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop</span></h2>","37,990","₹74,999₹74,999",,,M.R.P.: 
"<h2 aria-label=""HP 15, 13th Gen Intel Core i5-1334uLaptop 16GB DDR4,512GB SSD Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU"" class=""a-size-medium a-spacing-none a-color-base a-text-normal""><span>HP 15, 13th Gen Intel Core i5-1334uLaptop 16GB DDR4,512GB SSD Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU</span></h2>","52,800","₹65,699₹65,699",,4.2 out of 5 stars,50+ bought in past month
"<h2 aria-label='Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, 8GB LPDDR5 RAM/ 512GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop' class=""a-size-medium a-spacing-none a-color-base a-text-normal""><span>Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, 8GB LPDDR5 RAM/ 512GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop</span></h2>","39,990","₹76,999₹76,999",,,M.R.P.: 
"<h2 aria-label='Acer Smartchoice Aspire One, AMD Ryzen 5-40,Office 2024 + M365 Basic, 8GB LPDDR5 RAM/ 512GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop' class=""a-size-medium a-spacing-none a-color-base a-text-normal""><span>Acer Smartchoice Aspire One, AMD Ryzen 5-40,Office 2024 + M365 Basic, 8GB LPDDR5 RAM/ 512GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop</span></h2>","44,990","₹92,999₹92,999",,,M.R.P.: 
"<h2 aria-label=""HP Smartchoice OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor 45 Tops (16GB LPDDR5x, 1 TB SSD), 2K 14''/35.6cm, Win11, Office24, Silver, 1.29kg, he0015QU, Multi-Day Battery, AI Laptop"" class=""a-size-medium a-spacing-none a-color-base a-text-normal""><span>HP Smartchoice OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor 45 Tops (16GB LPDDR5x, 1 TB SSD), 2K 14''/35.6cm, Win11, Office24, Silver, 1.29kg, he0015QU, Multi-Day Battery, AI Laptop</span></h2>","74,990","₹88,225₹88,225",,4.2 out of 5 stars,200+ bought in past month
"<h2 aria-label=""𝗟𝗲𝗻𝗼𝘃𝗼Model L490 Laptop| Core i5 8th Gen Processor| 8GB Fast RAM | 512GB SSD | 14-inch HD Display Win 10| (Pre-Owned &amp; Tested)"" class=""a-size-medium a-spacing-none a-color-base a-text-normal""><span>𝗟𝗲𝗻𝗼𝘃𝗼Model L490 Laptop| Core i5 8th Gen Processor| 8GB Fast RAM | 512GB SSD | 14-inch HD Display Win 10| (Pre-Owned &amp; Tested)</span></h2>","24,599","₹49,995₹49,995",,,M.R.P: 
"<h2 aria-label=""JioBook 11 with Lifetime Office | Android 4G Laptop Mediatek 8788 (JioOS) | Octa-core | 4GB RAM | 64 eMMC Storage | Thin and Light Laptop (11.6 inch, 990 Grams) | Dual Band WiFi + SIM | Blue"" class=""a-size-medium a-spacing-none a-color-base a-text-normal""><span>JioBook 11 with Lifetime Office | Android 4G Laptop Mediatek 8788 (JioOS) | Octa-core | 4GB RAM | 64 eMMC Storage | Thin and Light Laptop (11.6 inch, 990 Grams) | Dual Band WiFi + SIM | Blue</span></h2>","9,999","₹25,000₹25,000",,2.9 out of 5 stars,300+ bought in past month
"<h2 aria-label='Sponsored Ad - ASUS Vivobook 16, Smartchoice, Intel Core Ultra 5 Series 2, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Silver, 1.88kg, X1607CA-MB142WS, Intel iGPU, M365 Basic (1Year)* Laptop' class=""a-size-medium a-spacing-none a-color-base a-text-normal""><span>ASUS Vivobook 16, Smartchoice, Intel Core Ultra 5 Series 2, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Silver, 1.88kg, X1607CA-MB142WS, Intel iGPU, M365 Basic (1Year)* Laptop</span></h2>","73,990","₹92,990₹92,990",,4.3 out of 5 stars,100+ bought in past month
"<h2 aria-label=""Sponsored Ad - HP 14 Smartchoice, Intel Core Ultra 5 125H 12 TOPS, 24GB DDR5 (Upgradeable) 1TB SSD, Anti-Glare, FHD, 14''/35.6cm,Win11, M365*Office24, Silver, 1.4kg, ep1180tu, FHD Camera w/Shutter, Backlit AI Laptop"" class=""a-size-medium a-spacing-none a-color-base a-text-normal""><span>HP 14 Smartchoice, Intel Core Ultra 5 125H 12 TOPS, 24GB DDR5 (Upgradeable) 1TB SSD, Anti-Glare, FHD, 14''/35.6cm,Win11, M365*Office24, Silver, 1.4kg, ep1180tu, FHD Camera w/Shutter, Backlit AI Laptop</span></h2>","79,990","₹81,143₹81,143",,3.6 out of 5 stars,100+ bought in past month
